"Name","Concatenate(Platform)","Min*(Year)","First(Genre)","First(Publisher)","Sum(NA_Sales)","Sum(EU_Sales)","Sum(JP_Sales)","Sum(Other_Sales)","Sum(Global_Sales)"
"Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!","NDS",2010,"Misc","Namco Bandai Games",0,0,0.42,0,0.42
"Taiko no Tatsujin DS: Touch de Dokodon!","NDS",2007,"Misc","Namco Bandai Games",0,0,0.66,0,0.66
"Taiko no Tatsujin Portable 2","PSP",2006,"Misc","Namco Bandai Games",0,0,0.05,0,0.05
"Taiko no Tatsujin Portable DX","PSP",2011,"Misc","Namco Bandai Games",0,0,0.38,0,0.38
"Taiko no Tatsujin Wii","Wii1",2008,"Misc","Namco Bandai Games",0,0,0.67,0,0.67
"Taiko no Tatsujin Wii: Dodon to 2 Yome!","Wii1",2009,"Misc","Namco Bandai Games",0,0,0.4,0,0.4
"Taiko no Tatsujin Wii: Ketteiban","Wii1",2011,"Misc","Namco Bandai Games",0,0,0.39,0,0.39
"Taiko no Tatsujin Wii: Minna de Party * 3-Yome!","Wii1",2010,"Misc","Namco Bandai Games",0,0,0.3,0,0.3
"Taiko no Tatsujin: Appare Sandaime","PS2",2003,"Misc","Namco Bandai Games",0,0,0.49,0,0.49
"Taiko no Tatsujin: Atsumete Tomodachi Daisakusen!","WiiU",2015,"Misc","Namco Bandai Games",0,0,0.06,0,0.06
"Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb","3DS",2012,"Misc","Namco Bandai Games",0,0,0.63,0,0.63
"Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri","PS2",2003,"Misc","Namco Bandai Games",0,0,0.44,0,0.44
"Taiko no Tatsujin: Don Don! Mystery Adventure","3DS",2016,"Action","Namco Bandai Games",0,0,0.09,0,0.09
"Taiko no Tatsujin: Go! Go! Godaime","PS2",2004,"Misc","Namco Bandai Games",0,0,0.2,0,0.2
"Taiko no Tatsujin: Tatakon de Dodon ga Don","PS2",2002,"Misc","Namco Bandai Games",0,0,0.76,0,0.76
"Taiko no Tatsujin: V Version","PSV",2015,"Action","Namco Bandai Games",0,0,0.1,0,0.1
"Taiko no Tatsujin: Waku Waku Anime Matsuri","PS2",2003,"Misc","Namco Bandai Games",0,0,0.2,0,0.2
"Taiko no Tatsujin: Wii U Version!","WiiU",2013,"Misc","Namco Bandai Games",0,0,0.19,0,0.19
"Taikou Risshiden V","PSP",2009,"Strategy","Tecmo Koei",0,0,0.04,0,0.04
"Tail Concerto","PSX",1998,"Adventure","Namco Bandai Games",0.02,0.01,0,0,0.03
"Tail of the Sun","PSX",1996,"Role-Playing","ArtDink",0.01,0.01,0,0,0.02
"Taishou Moebius Line Vitable","PSV",2016,"Adventure","dramatic create",0,0,0.02,0,0.02
"Taito Legends","PS2, XB",2005,"Misc","Empire Interactive",0.1,0.05,0,0.01,0.16
"Taito Legends 2","PS2",2006,"Misc","Empire Interactive",0.01,0.01,0,0,0.02
"Taito Legends Power Up","PSP",2007,"Action","Destineer",0.05,0,0,0,0.05
"Tak 2: The Staff of Dreams","PS2, GBA, GC, XB",2004,"Platform","THQ",0.99,0.45999999999999996,0,0.09999999999999999,1.54
"Tak and the Guardians of Gross","PS2, Wii1",2008,"Action","THQ",0.29000000000000004,0.11,0,0.05,0.44000000000000006
"Tak and the Power of Juju","PS2, GBA, GC",2003,"Platform","THQ",1.26,0.6699999999999999,0,0.17,2.1
"Tak: Mojo Mistake","NDS",2008,"Action","THQ",0.16,0,0,0.01,0.17
"Tak: The Great Juju Challenge","GBA, GC, NDS, XB",2005,"Platform","THQ",0.37999999999999995,0.1,0,0.01,0.48000000000000004
"Take A Break's: Puzzle Master","NDS",2009,"Puzzle","Ubisoft",0,0.15,0,0.01,0.16
"Tale of a Hero","PC",2010,"Adventure","Daedalic",0,0.02,0,0.01,0.02
"Tales of Berseria","PS4, PS3",2016,"Role-Playing","Namco Bandai Games",0,0,0.33,0,0.33
"Tales of Destiny","PSX, PS2",1997,"Role-Playing","Namco Bandai Games",0.09,0.06,1.35,0.07,1.56
"Tales of Destiny 2","PS2, PSP",2002,"Role-Playing","Namco Bandai Games",0,0,0.92,0,0.92
"Tales of Destiny II","PSX",2000,"Role-Playing","Namco Bandai Games",0.06,0.04,0.66,0.05,0.81
"Tales of Eternia","PSP",2005,"Role-Playing","Ubisoft",0,0.01,0.25,0.01,0.27
"Tales of Fandom Vol.2","PS2",2007,"Role-Playing","Namco Bandai Games",0,0,0.08,0,0.08
"Tales of Graces","Wii1",2009,"Role-Playing","Namco Bandai Games",0,0,0.22,0,0.22
"Tales of Graces f","PS3",2010,"Role-Playing","Namco Bandai Games",0.28,0.21,0.45,0.08,1.02
"Tales of Hearts","PSV, NDS",2008,"Role-Playing","Namco Bandai Games",0.15,0.13,0.32999999999999996,0.08,0.69
"Tales of Innocence","NDS",2007,"Role-Playing","Namco Bandai Games",0,0,0.26,0,0.26
"Tales of Innocence R","PSV",2012,"Role-Playing","Namco Bandai Games",0,0,0.1,0,0.1
"Tales of Legendia","PS2",2005,"Role-Playing","Namco Bandai Games",0.07,0.05,0.35,0.02,0.49
"Tales of Phantasia","PSX, SNES, GBA",1995,"Role-Playing","Namco Bandai Games",0.08,0.03,1.11,0.05,1.27
"Tales of Phantasia (PS1 & PSP Versions)","PSP",2006,"Role-Playing","Namco Bandai Games",0,0,0.11,0,0.11
"Tales of Phantasia: Narikiri Dungeon X","PSP",2010,"Role-Playing","Namco Bandai Games",0,0,0.21,0,0.21
"Tales of Rebirth","PS2, PSP",2004,"Role-Playing","Namco Bandai Games",0,0,0.6599999999999999,0,0.6599999999999999
"Tales of Symphonia","GC, PS3",2003,"Role-Playing","Nintendo",0.75,0.33999999999999997,0.44,0.1,1.6400000000000001
"Tales of Symphonia: Dawn of the New World","Wii1",2008,"Role-Playing","Namco Bandai Games",0.22,0.05,0.24,0.03,0.54
"Tales of VS.","PSP",2009,"Fighting","Namco Bandai Games",0,0,0.23,0,0.23
"Tales of Vesperia","X360, PS3",2008,"Role-Playing","Atari",0.32,0.18,0.64,0.05,1.2
"Tales of Xillia","PS3",2011,"Role-Playing","Namco Bandai Games",0.29,0.19,0.67,0.09,1.24
"Tales of Xillia 2","PS3",2012,"Role-Playing","Namco Bandai Games",0.2,0.15,0.45,0.07,0.87
"Tales of Zestiria","PS3, PS4",2015,"Role-Playing","Namco Bandai Games",0.21000000000000002,0.24,0.44,0.09,0.97
"Tales of the Abyss","3DS, PS2",2005,"Role-Playing","Namco Bandai Games",0.42,0.19,0.71,0.06,1.39
"Tales of the Heroes: Twin Brave","PSP",2012,"Role-Playing","Namco Bandai Games",0,0,0.13,0,0.13
"Tales of the Tempest","NDS",2006,"Role-Playing","Namco Bandai Games",0,0,0.18,0,0.18
"Tales of the World: Narikiri Dungeon 2","GBA",2002,"Role-Playing","Namco Bandai Games",0,0,0.19,0,0.19
"Tales of the World: Radiant Mythology","PSP",2006,"Role-Playing","Ubisoft",0.17,0.01,0.23,0.02,0.43
"Tales of the World: Radiant Mythology 2","PSP",2009,"Role-Playing","Namco Bandai Games",0,0,0.33,0,0.33
"Tales of the World: Radiant Mythology 3","PSP",2011,"Role-Playing","Namco Bandai Games",0,0,0.28,0,0.28
"Tales of the World: Reve Unitia","3DS",2014,"Role-Playing","Namco Bandai Games",0,0,0.11,0,0.11
"TalkMan","PSP",2006,"Misc","Sony Computer Entertainment",0,0,0.02,0,0.02
"TalkMan (Japan)","PSP",2005,"Misc","Sony Computer Entertainment",0,0,0.18,0,0.18
"Tamagotchi","GBoy",1996,"Simulation","Namco Bandai Games",0,0,1.44,0.01,1.45
"Tamagotchi Collection","NDS",2011,"Misc","Namco Bandai Games",0,0,0.15,0,0.15
"Tamagotchi Connection: Corner Shop","NDS",2005,"Simulation","Atari",0.1,0.02,1.12,0.01,1.26
"Tamagotchi Connection: Corner Shop 2","NDS",2006,"Simulation","Namco Bandai Games",0.09,0.02,0.86,0.01,0.98
"Tamagotchi Connection: Corner Shop 3","NDS",2007,"Simulation","Atari",0.07,0,0.31,0.01,0.38
"Tamagotchi Party On!","Wii1",2006,"Misc","Namco Bandai Games",0.12,0,0.06,0.01,0.19
"Tamagotchi no Appare! Niji Venture","NDS",2007,"Role-Playing","Namco Bandai Games",0,0,0.14,0,0.14
"Tamagotchi no Doki Doki Dream Omisecchi","3DS",2013,"Simulation","Namco Bandai Games",0,0,0.03,0,0.03
"Tamagotchi no KiraKira Omisecchi","NDS",2008,"Misc","Namco Bandai Games",0,0,0.22,0,0.22
"Tamagotchi no Narikiri Challenge","NDS",2010,"Action","Namco Bandai Games",0,0,0.17,0,0.17
"Tamagotchi no Narikiri Channel","NDS",2009,"Role-Playing","Namco Bandai Games",0,0,0.15,0,0.15
"Tamagotchi no Pichi Pichi Omisecchi","NDS",2010,"Action","Namco Bandai Games",0,0,0.13,0,0.13
"Tanjou S Debut","SAT",1996,"Simulation","NEC Interchannel",0,0,0.06,0,0.06
"Tank Beat","NDS",2006,"Strategy","Midas Interactive Entertainment",0.01,0.01,0,0,0.03
"Tank! Tank! Tank!","WiiU",2012,"Action","Namco Bandai Games",0.02,0.01,0.05,0,0.07
"Tantei Jinguuji Saburo DS: Fuserareta Shinjitsu","NDS",2009,"Adventure","Arc System Works",0,0,0.01,0,0.01
"Tantei Jinguuji Saburo DS: Kienai Kokoro","NDS",2008,"Adventure","Arc System Works",0,0,0.03,0,0.03
"Tantei Jinguuji Saburo: Hai to Diamond","PSP",2009,"Adventure","Arc System Works",0,0,0.01,0,0.01
"Tao Adventure: Curse Demon","NDS",2005,"Role-Playing","Konami Digital Entertainment",0.03,0,0,0,0.04
"Tao Feng: Fist of the Lotus","XB",2003,"Fighting","Microsoft Game Studios",0.21,0.06,0,0.01,0.27
"Target: Terror","Wii1",2008,"Shooter","Konami Digital Entertainment",0.06,0,0,0.01,0.07
"Tatsunoko vs. Capcom: Cross Generation of Heroes","Wii1",2008,"Fighting","Capcom",0,0,0.1,0,0.1
"Tatsunoko vs. Capcom: Ultimate All-Stars","Wii1",2010,"Fighting","Capcom",0.32,0.16,0.03,0.05,0.55
"Taz Wanted","PS2, GC, XB",2002,"Platform","Atari",0.19,0.1,0,0.02,0.31
"Team Elimination Games","Wii1",2009,"Misc","Ubisoft",0.08,0,0,0.01,0.09
"Tear Ring Saga Yutona Eiyuu Senki","PSX",2001,"Role-Playing","Enterbrain",0,0,0.37,0.03,0.39
"Tearaway","PSV",2013,"Adventure","Sony Computer Entertainment Europe",0.17,0.39,0,0.19,0.75
"Tearaway Unfolded","PS4",2015,"Platform","Sony Computer Entertainment",0.09,0.12,0,0.04,0.25
"Tears to Tiara Anecdotes: The Secret of Avalon","PS3",2009,"Strategy","Aqua Plus",0,0,0.04,0,0.04
"Tears to Tiara II: Heir of the Overlord","PS3",2013,"Role-Playing","Nippon Ichi Software",0.07,0.02,0.06,0.01,0.15
"Tears to Tiara: Garland of the Earth","PS3",2008,"Strategy","Aqua Plus",0,0,0.08,0,0.08
"Tears to Tiara: Kakan no Daichi Portable","PSP",2010,"Adventure","Aqua Plus",0,0,0.01,0,0.01
"Technic Beat","PS2",2002,"Misc","Arika",0.01,0.01,0,0,0.02
"Tecmo Bowl: Kickoff","NDS",2008,"Sports","Tecmo Koei",0.11,0,0,0.01,0.12
"Tecmo Classic Arcade","XB",2005,"Misc","Microsoft Game Studios",0.05,0.01,0,0,0.06
"Tecmo Super Bowl","PSX",1996,"Sports","Tecmo Koei",0.06,0.04,0,0.01,0.12
"Tecmo's Deception","PSX",1996,"Role-Playing","Sunsoft",0.04,0.03,0,0,0.07
"Teddy Together","3DS",2016,"Simulation","Nintendo",0,0.02,0,0,0.02
"Teen Titans","GC, PS2",2006,"Action","THQ",0.37,0.17,0,0.04,0.5800000000000001
"Teenage Mutant Ninja Turtles","Famicom, PS2, GC, XB, Wii1",1989,"Action","Palcom",4.31,0.9300000000000002,0.31,0.18000000000000002,5.739999999999999
"Teenage Mutant Ninja Turtles (3DS)","3DS",2013,"Action","Activision",0.01,0,0,0,0.01
"Teenage Mutant Ninja Turtles 2: Battle Nexus","PS2, GBA, GC, XB",2004,"Action","Konami Digital Entertainment",0.7,0.32999999999999996,0,0.07999999999999999,1.08
"Teenage Mutant Ninja Turtles 3: Mutant Nightmare","PS2, GC, NDS, XB",2005,"Action","Konami Digital Entertainment",0.27,0.11,0,0.03,0.42
"Teenage Mutant Ninja Turtles Double Pack","GBA",2006,"Action","Konami Digital Entertainment",0.01,0,0,0,0.02
"Teenage Mutant Ninja Turtles II: Back from the Sewers","GBoy",1991,"Action","Konami Digital Entertainment",0,0,0.06,0,0.06
"Teenage Mutant Ninja Turtles II: The Arcade Game","Famicom",1990,"Action","Konami Digital Entertainment",1.74,0.25,0.21,0.03,2.23
"Teenage Mutant Ninja Turtles III: The Manhattan Project","Famicom",1991,"Action","Konami Digital Entertainment",1.05,0.17,0.15,0.02,1.39
"Teenage Mutant Ninja Turtles: Arcade Attack","NDS",2009,"Action","Ubisoft",0.12,0,0,0.01,0.13
"Teenage Mutant Ninja Turtles: Danger of the Ooze","PS3, X360, 3DS",2014,"Adventure","Activision",0.3,0.24000000000000002,0,0.08,0.62
"Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1","GBA",2004,"Misc","N/A",0.12,0.04,0,0,0.17
"Teenage Mutant Ninja Turtles: Mutants in Manhattan","PS4, PS3, XOne, X360",2016,"Action","Activision",0.08,0.08,0,0.02,0.18000000000000002
"Teenage Mutant Ninja Turtles: Smash-Up","Wii1, PS2",2009,"Fighting","Ubisoft",0.44,0.08,0,0.06,0.57
"Teenage Mutant Ninja Turtles: Tournament Fighters","Famicom, SNES",1992,"Fighting","Konami Digital Entertainment",0.04,0.01,0.08,0,0.13
"Teenage Zombies: Invasion of the Alien Brain Thingys","NDS",2008,"Adventure","Ignition Entertainment",0.03,0,0,0,0.04
"Tegami Bachi: Kokoro Tsumugu Mono e","PSP",2010,"Role-Playing","Konami Digital Entertainment",0,0,0.02,0,0.02
"Tekken","PSX",1995,"Fighting","Sony Computer Entertainment",0.95,1.3,0.77,0.22,3.24
"Tekken 2","PSX",1996,"Fighting","Sony Computer Entertainment",2.26,1.89,1.36,0.23,5.74
"Tekken 3","PSX",1998,"Fighting","Sony Computer Entertainment",3.27,2.22,1.4,0.29,7.16
"Tekken 3D: Prime Edition","3DS",2012,"Fighting","Nintendo",0.06,0.08,0.05,0.01,0.2
"Tekken 4","PS2",2002,"Fighting","Namco Bandai Games",1.55,1.27,0.33,0.29,3.44
"Tekken 5","PS2",2005,"Fighting","Namco Bandai Games",0.93,1.94,0.31,0.7,3.87
"Tekken 6","PS3, X360, PSP",2009,"Fighting","Namco Bandai Games",2.06,1.44,0.32000000000000006,0.5900000000000001,4.41
"Tekken Advance","GBA",2001,"Fighting","Infogrames",0.32,0.12,0,0.01,0.45
"Tekken Tag Tournament","PS2",2000,"Fighting","Namco Bandai Games",1.68,1.51,0.51,0.35,4.05
"Tekken Tag Tournament 2","PS3, X360, WiiU",2012,"Fighting","Namco Bandai Games",0.56,0.52,0.15000000000000002,0.18000000000000002,1.42
"Tempest 3X","PSX",1995,"Shooter","Interplay",0.04,0.03,0,0.01,0.08
"Ten Pin Alley 2","Wii1, GBA",2004,"Sports","XS Games",0.03,0,0,0,0.03
"Tenchi Muyou! Ryoukouki Gokuraku","SAT",1995,"Adventure","Yumedia",0,0,0.06,0,0.06
"Tenchu 2: Birth of the Stealth Assassins","PSX",2000,"Action","Activision",0.32,0.22,0,0.04,0.58
"Tenchu San Portable","PSP",2009,"Action","From Software",0,0,0.01,0,0.01
"Tenchu Z","X360",2006,"Action","Microsoft Game Studios",0.27,0.02,0.02,0.03,0.34
"Tenchu: Dark Secret","NDS",2006,"Action","From Software",0.03,0,0.01,0,0.05
"Tenchu: Fatal Shadows","PS2",2004,"Action","Sega",0.09,0.07,0,0.02,0.19
"Tenchu: Return From Darkness","XB",2004,"Action","Activision",0.16,0.05,0,0.01,0.21
"Tenchu: Shadow Assassins","Wii1, PSP",2008,"Action","Ubisoft",0.19,0.04,0.08,0.03,0.33999999999999997
"Tenchu: Stealth Assassins","PSX",1997,"Action","Activision",0.95,0.64,0.27,0.13,1.99
"Tenchu: Wrath of Heaven","PS2",2003,"Action","Activision",0.44,0.34,0.25,0.11,1.14
"Tengai Makyo: Dai Yon no Mokushiroku","PSP",2006,"Role-Playing","Hudson Soft",0,0,0.01,0,0.01
"Tengai Makyou: Daishi no Mokushiroku - The Apocalypse IV","SAT",1997,"Role-Playing","Hudson Soft",0,0,0.26,0,0.26
"Tengen Toppa Gurren-Lagann","NDS",2007,"Action","Konami Digital Entertainment",0,0,0.02,0,0.02
"Tenjin Ranman: Happy GO Lucky!!","PSP",2010,"Adventure","Russel",0,0,0.01,0,0.01
"Tenka-bito","PS2",2006,"Strategy","Sega",0,0,0.03,0,0.03
"Tenkai Knights: Brave Battle","3DS",2014,"Action","Namco Bandai Games",0.01,0.01,0,0,0.02
"Tenkaichi * Sengoku Lovers","NDS",2010,"Adventure","Rocket Company",0,0,0.03,0,0.03
"Tennis","Famicom, GBoy",1984,"Sports","Nintendo",1.23,0.41,2.46,0.06,4.16
"Tennis Masters Series 2003","XB",2002,"Sports","Microids",0.03,0.01,0,0,0.04
"Tennis no Oji-Sama Gyutto! DokiDoki Survival - Umi to Yama no Love Passion","NDS",2011,"Sports","Konami Digital Entertainment",0,0,0.08,0,0.08
"Tennis no Oji-Sama: 2005 Crystal Drive","NDS",2004,"Sports","Konami Digital Entertainment",0,0,0.05,0,0.05
"Tennis no Oji-Sama: Aim at The Victory!","GBA",2002,"Sports","Konami Digital Entertainment",0,0,0.14,0,0.14
"Tennis no Oji-Sama: Card Hunter","PS2",2007,"Strategy","Konami Digital Entertainment",0,0,0.02,0,0.02
"Tennis no Oji-Sama: DokiDoki Survival - Sanroku no Mystic","PS2",2006,"Adventure","Konami Digital Entertainment",0,0,0.04,0,0.04
"Tennis no Oji-Sama: DokiDoki Survival - Umibe no Secret","PS2",2007,"Sports","Konami Digital Entertainment",0,0,0.04,0,0.04
"Tennis no Oji-Sama: Doubles no Oji-Sama - Boys, Be Glorious!","NDS",2009,"Sports","Konami Digital Entertainment",0,0,0.01,0,0.01
"Tennis no Oji-Sama: Doubles no Oji-Sama - Girls, Be Gracious!","NDS",2009,"Sports","Konami Digital Entertainment",0,0,0.06,0,0.06
"Tennis no Oji-Sama: Driving Smash! Side King","NDS",2008,"Sports","Konami Digital Entertainment",0,0,0.02,0,0.02
"Tennis no Oji-Sama: Genius Boys Academy","GBA",2002,"Sports","Konami Digital Entertainment",0,0,0.24,0.01,0.25
"Tennis no Oji-Sama: Motto Gakuensai no Ouji-Sama - More Sweet Edition","NDS",2010,"Sports","Konami Digital Entertainment",0,0,0.1,0,0.1
"Tenshou Gakuen Gekkouroku","PS2",2006,"Adventure","Asmik Ace Entertainment",0,0,0.04,0,0.04
"Terminator 3: Rise of the Machines","PS2, XB, GBA",2003,"Action","Atari",0.43,0.27,0,0.08,0.78
"Terminator 3: The Redemption","PS2, XB, GC",2004,"Shooter","Atari",0.15,0.06999999999999999,0,0.02,0.25
"Terminator Salvation","PS3, X360",2009,"Shooter","Warner Bros. Interactive Entertainment",0.26,0.47,0.01,0.15,0.89
"Terranigma","SNES",1995,"Role-Playing","Nintendo",0,0,0.09,0,0.09
"Terraria","X360, PS3, PSV, 3DS, PS4, XOne, WiiU",2013,"Action","505 Games",0.42,0.7200000000000002,0.23,0.14,1.5300000000000002
"Teslagrad","PSV",2015,"Platform","Rain Games",0,0.01,0,0,0.01
"Test Drive","PS2, XB",2002,"Racing","Atari",1.2999999999999998,0.26,0.01,0.19999999999999998,1.76
"Test Drive 4","PSX",1997,"Racing","Electronic Arts",0.67,0.46,0,0.08,1.21
"Test Drive 5","PSX",1997,"Racing","Accolade",1.05,0.2,0,0.05,1.3
"Test Drive 6","PSX",1999,"Racing","Atari",0.4,0.27,0,0.05,0.72
"Test Drive Le Mans","PSX",1999,"Racing","Infogrames",0.03,0.02,0,0,0.05
"Test Drive Off-Road Wide Open","XB",2001,"Racing","Infogrames",0.15,0.03,0,0.01,0.18
"Test Drive Unlimited","PSP, X360, PC",2006,"Racing","Atari",0.31,0.34,0.02,0.18,0.8500000000000001
"Test Drive: Eve of Destruction","PS2, XB",2004,"Racing","Atari",0.18,0.11,0,0.03,0.32
"Test Drive: Ferrari Legends","X360",2012,"Racing","Atari",0.04,0,0,0,0.05
"Test Drive: Off Road","PSX",1997,"Racing","Eidos Interactive",0.65,0.44,0,0.08,1.16
"Tetris","GBoy, Famicom",1988,"Puzzle","Nintendo",26.169999999999998,2.9499999999999997,6.029999999999999,0.69,35.84
"Tetris 2","Famicom",1993,"Puzzle","Nintendo",0.62,0.13,0.21,0.02,0.98
"Tetris 2 (All region sales)","GBoy",1992,"Puzzle","Nintendo",0.56,0.22,0.43,0.03,1.24
"Tetris 2 (weekly jp sales)","GBoy",1992,"Puzzle","Nintendo",0,0,0.23,0,0.23
"Tetris 2 + Bombliss","Famicom",1991,"Puzzle","BPS",0,0,0.32,0,0.32
"Tetris Attack","GBoy, SNES",1995,"Puzzle","Nintendo",0,0,0.38,0,0.38
"Tetris Axis","3DS",2011,"Puzzle","Tetris Online",0.2,0.13,0.06,0.03,0.43
"Tetris DS","NDS",2006,"Puzzle","Nintendo",0.64,0.07,1.35,0.08,2.13
"Tetris DX","GBoy",1998,"Puzzle","Nintendo",1.06,0.6,0.2,0.07,1.93
"Tetris Evolution","X360",2007,"Puzzle","THQ",0.08,0.02,0,0.01,0.11
"Tetris Party Deluxe","NDS, Wii1",2010,"Puzzle","Nintendo",0.63,0.47,0.13999999999999999,0.12000000000000001,1.3599999999999999
"Tetris Plus","PSX",1996,"Puzzle","JVC",2.1,0.24,0,0.07,2.4
"Tetris Ultimate","PSV",2014,"Puzzle","Ubisoft",0,0.01,0,0,0.01
"Tetris Worlds","PS2, GBA, GC",2001,"Puzzle","THQ",2.5300000000000002,1.1400000000000001,0,0.34,4.01
"Tetris Worlds (Online Edition)","XB",2003,"Puzzle","THQ",0.15,0.04,0,0.01,0.2
"Tetrisphere","N64",1997,"Puzzle","Nintendo",0.29,0.06,0,0,0.36
"Texas Hold 'Em Poker","GBA",2004,"Misc","Majesco Entertainment",0.44,0.16,0,0.01,0.61
"Texas Hold 'Em Poker DS","NDS",2005,"Misc","Majesco Entertainment",0.03,0,0,0,0.04
"That's So Raven","GBA",2004,"Adventure","Disney Interactive Studios",0.54,0.2,0,0.01,0.76
"That's So Raven 2: Supernatural Style","GBA",2005,"Adventure","Disney Interactive Studios",0.37,0.14,0,0.01,0.52
"That's So Raven: Psychic on the Scene","NDS",2006,"Adventure","Disney Interactive Studios",0.23,0,0,0.02,0.24
"The $1 Pyramid","Wii1",2011,"Misc","Ubisoft",0.08,0,0,0.01,0.09
"The 3rd Birthday","PSP",2010,"Role-Playing","Square Enix",0.13,0.07,0.27,0.05,0.51
"The 7th Guest","PC",1992,"Adventure","Virgin Interactive",0.01,0.77,0,0,0.78
"The Activision Decathlon","2600",1982,"Sports","Activision",0.52,0.03,0,0.01,0.55
"The Adventures of Cookie & Cream","PS2",2000,"Puzzle","Empire Interactive",0.09,0.07,0,0.02,0.18
"The Adventures of Darwin","PS2",2006,"Strategy","Essential Games",0.01,0,0.03,0,0.04
"The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron","GBA",2002,"Action","THQ",0.19,0.07,0,0,0.26
"The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies","GBA, PS2, GC",2004,"Action","THQ",0.82,0.38,0,0.07999999999999999,1.28
"The Adventures of Jimmy Neutron Boy Genius: Jet Fusion","PS2, GBA, GC",2003,"Action","THQ",0.5499999999999999,0.27,0,0.060000000000000005,0.88
"The Adventures of Lomax","PSX",1996,"Platform","Psygnosis",0.01,0.01,0,0,0.03
"The Adventures of Tintin: The Game","Wii1, PS3, X360, 3DS",2011,"Action","Ubisoft",0.31,0.56,0,0.13999999999999999,1.01
"The Amazing Race","Wii1",2010,"Misc","Ubisoft",0.13,0,0,0.01,0.14
"The Amazing Spider-Man (Console Version)","PS3, X360, NDS, 3DS, Wii1, WiiU",2012,"Action","Activision",1.2000000000000002,0.7700000000000001,0,0.24000000000000005,2.23
"The Amazing Spider-Man (DS & Mobile Versions)","PSP",2009,"Action","Eidos Interactive",0,0.01,0,0,0.01
"The Amazing Spider-Man 2 (2014)","PS4, PS3, X360, XOne, 3DS, WiiU, PC",2014,"Action","Activision",0.54,0.6800000000000002,0.04,0.18,1.4400000000000002
"The Ant Bully","GC, PS2, Wii1, GBA",2006,"Platform","Midway Games",0.25,0.06999999999999999,0,0.02,0.35
"The Awakened Fate Ultimatum","PS3",2014,"Role-Playing","Nippon Ichi Software",0,0,0.02,0,0.02
"The BIGS","PS2, Wii1, X360, PS3, PSP",2007,"Sports","Take-Two Interactive",1.02,0.27,0,0.10999999999999999,1.42
"The BIGS 2","Wii1, X360, PS2, PS3, PSP, NDS",2009,"Sports","Take-Two Interactive",0.81,0.1,0,0.09,0.98
"The Bachelor: The Videogame","Wii1, NDS",2010,"Misc","Warner Bros. Interactive Entertainment",0.18,0,0,0.02,0.2
"The Backyardigans","NDS",2009,"Adventure","Take-Two Interactive",0.24,0,0,0.02,0.26
"The Bard's Tale","PS2, XB",2004,"Role-Playing","Ubisoft",0.18,0.1,0,0.03,0.31
"The Battle of Yuu Yuu Hakusho: Shitou! Ankoku Bujutsukai! 120%","PS2",2007,"Fighting","Banpresto",0,0,0.03,0,0.03
"The Beatles: Rock Band","Wii1, X360, PS3",2009,"Misc","MTV Games",2.83,0.9299999999999999,0,0.42000000000000004,4.18
"The Bee Game","NDS",2007,"Adventure","Midway Games",0.17,0,0,0.01,0.19
"The Berenstain Bears and the Spooky Old Tree","GBA",2005,"Platform","Namco Bandai Games",0.03,0.01,0,0,0.05
"The Bible Game","PS2, GBA, XB",2005,"Misc","Crave Entertainment",0.22,0.12,0,0.03,0.37
"The Biggest Loser","Wii1, NDS",2009,"Sports","THQ",1.05,0.22999999999999998,0,0.12,1.4000000000000001
"The Biggest Loser: Challenge","Wii1",2010,"Sports","THQ",0.49,0.13,0,0.05,0.67
"The Biggest Loser: Ultimate Workout","X360",2010,"Sports","THQ",0.73,0.1,0,0.06,0.9
"The Black Eyed Peas Experience","Wii1, X360",2011,"Misc","Ubisoft",0.5900000000000001,0.30000000000000004,0,0.09,0.98
"The Bombing Islands","PSX",1997,"Platform","Kemco",0.08,0.05,0,0.01,0.14
"The Book of Unwritten Tales","PC",2009,"Adventure","HMH Interactive",0,0.08,0,0.02,0.11
"The Book of Unwritten Tales 2","PS4, WiiU",2015,"Adventure","Nordic Games",0,0.06999999999999999,0,0.01,0.08
"The Book of Unwritten Tales: The Critter Chronicles","PC",2011,"Action","Crimson Cow",0,0.05,0,0.01,0.06
"The Bouncer","PS2",2000,"Action","Sony Computer Entertainment",0.3,0.23,0.38,0.08,0.99
"The Bureau: XCOM Declassified","PS3, X360, PC",2013,"Shooter","Take-Two Interactive",0.18,0.33,0,0.08,0.5800000000000001
"The Cages: Pro Style Batting Practice","Wii1",2010,"Sports","Konami Digital Entertainment",0.01,0,0,0,0.01
"The Cat in the Hat","GBA",2005,"Platform","Jack of All Games",0.27,0.1,0,0.01,0.38
"The Chase: Felix Meets Felicity","NDS",2009,"Action","Atari",0.04,0,0,0,0.04
"The Cheetah Girls","GBA",2006,"Misc","Disney Interactive Studios",0.01,0,0,0,0.02
"The Cheetah Girls: Passport to Stardom","NDS",2008,"Misc","Disney Interactive Studios",0.18,0,0,0.01,0.2
